name,coin,link,pdf
bitcoin,btc,https://www.bitcoin.com/bitcoin.pdf,bitcoin-bitcoin.pdf
ethereum,eth,http://www.the-blockchain.com/docs/Ethereum_white_paper-a_next_generation_smart_contract_and_decentralized_application_platform-vitalik-buterin.pdf,ethereum-Ethereum_white_paper-a_next_generation_smart_contract_and_decentralized_application_platform-vitalik-buterin.pdf
cardano,ada,https://whycardano.com/science-and-engineering,cardano.txt
neo,neo,http://docs.neo.org/en-us/index.html,neo.txt
monero,xmr,https://lab.getmonero.org/pubs/MRL-0003.pdf,monero-MRL-0003.pdf
eos,eos,https://github.com/EOSIO/Documentation/blob/master/TechnicalWhitePaper.md,eos.txt
iota,miota,https://iota.org/IOTA_Whitepaper.pdf,iota-IOTA_Whitepaper.pdf
dash,dash,,dash-DOC-Whitepaper-060318-0438.pdf
qtum,qtum,https://qtum.org/uploads/files/a2772efe4dc8ed1100319c6480195fb1.pdf,qtum-a2772efe4dc8ed1100319c6480195fb1.pdf
nano,nano,https://nano.org/en/whitepaper,nano-whitepaper
omisego,omg,https://cdn.omise.co/omg/whitepaper.pdf,omisego-whitepaper.pdf
zcash,zec,http://zerocash-project.org/media/pdf/zerocash-oakland2014.pdf,zcash-zerocash-oakland2014.pdf
digixdao,dgd,https://digix.global/whitepaper.pdf,digixdao-whitepaper.pdf
bytecoin,bcn,https://bytecoin.org/resources/whitepaper.pdf,bytecoin-whitepaper.pdf
verge,xvg,https://vergecurrency.com/assets/Verge-Anonymity-Centric-CryptoCurrency.pdf,verge-Verge-Anonymity-Centric-CryptoCurrency.pdf
maker,mkr,https://makerdao.com/whitepaper/DaiDec17WP.pdf,maker-DaiDec17WP.pdf
komodo,kmd,https://komodoplatform.com/en/whitepaper/2018-02-14-Komodo-White-Paper-Full.pdf,komodo-2018-02-14-Komodo-White-Paper-Full.pdf
hshare,hsr,https://h.cash/themes/en/dist/pdf/Hcash+Whitepaper+V0.8.5.pdf,hshare-Hcash+Whitepaper+V0.8.5.pdf
syscoin,sys,http://syscoin.org/whitepaper.pdf,syscoin-whitepaper.pdf
cryptonex,cnx,https://cryptonex.org/pdf/whitepaper.pdf,cryptonex-whitepaper.pdf
ethos,ethos,http://www.ethos.io/Ethos_Whitepaper.pdf,ethos-Ethos_Whitepaper.pdf
pivx,pivx,https://pivx.org/wp-content/uploads/2017/03/PIVX-purple-paper-Technincal-Notes.pdf,pivx-PIVX-purple-paper-Technincal-Notes.pdf
byteball,gbyte,https://byteball.org/Byteball.pdf,byteball-Byteball.pdf
reddcoin,rdd,https://www.reddcoin.com/papers/PoSV.pdf,reddcoin-PoSV.pdf
enigma,eng,https://enigma.co/enigma_full.pdf,enigma-enigma_full.pdf
kin,kin,https://kinecosystem.org/static/files/Kin_Whitepaper_V1_English.pdf,kin-Kin_Whitepaper_V1_English.pdf
ignis,ignis,https://www.jelurida.com/sites/default/files/JeluridaWhitepaper.pdf,ignis-JeluridaWhitepaper.pdf
vertcoin,vtc,https://vertcoin.org/wp-content/uploads/2017/10/Vertcoin_Lyra2RE_Paper_11292014.pdf,vertcoin-Vertcoin_Lyra2RE_Paper_11292014.pdf
telcoin,tel,https://www.telco.in/docs/whitepaper.pdf,telcoin-whitepaper.pdf
peercoin,ppc,https://peercoin.net/assets/paper/peercoin-paper.pdf,peercoin-peercoin-paper.pdf
aeon,aeon,,aeon-whitepaper.pdf
augur,rep,https://bravenewcoin.com/assets/Whitepapers/Augur-A-Decentralized-Open-Source-Platform-for-Prediction-Markets.pdf,augur-Augur-A-Decentralized-Open-Source-Platform-for-Prediction-Markets.pdf
0x,zrx,https://0xproject.com/pdfs/0x_white_paper.pdf,0x-0x_white_paper.pdf
veritaseum,veri,,veritaseum-whitepaper.pdf
ark,ark,https://ark.io/Whitepaper.pdf,ark-Whitepaper.pdf
dragonchain,drgn,https://dragonchain.com/assets/Dragonchain_Business_Summary.pdf,dragonchain-Dragonchain_Business_Summary.pdf
golem,gnt,http://golemproject.net/doc/DraftGolemProjectWhitepaper.pdf,golem-DraftGolemProjectWhitepaper.pdf
zilliqa,zil,https://docs.zilliqa.com/whitepaper.pdf,zilliqa-whitepaper.pdf
basic-attention-token,bat,https://basicattentiontoken.org/BasicAttentionTokenWhitePaper-4.pdf,basic-attention-token-BasicAttentionTokenWhitePaper-4.pdf
kucoin,kcs,https://assets.kucoin.com/kucoin_whitepaper_en.pdf,kucoin-kucoin_whitepaper_en.pdf
gnosis,gno,https://gnosis.pm/resources/default/pdf/gnosis-whitepaper-DEC2017.pdf,gnosis-gnosis-whitepaper-DEC2017.pdf
wax,wax,https://wax.io/documents/WAX_White_Paper.pdf?1514592384340,wax-WAX_White_Paper.pdf?1514592384340
